"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"54","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",979,28,0.117514896144899,0.261144213655331
"55","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidocella",783,21,0.11104758724776,0.246772416106133
"56","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",869,26,0.109554676996729,0.243454837770509
"57","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocella",824,16,0.104030422327452,0.231178716283226
"58","Untreated","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","FCPS473",798,28,0.103996706652159,0.231103792560354
"59","Untreated","Bacteria","Myxococcota","Polyangia","Polyangiales","Phaselicystidaceae","Phaselicystis",861,24,0.102868147330639,0.228595882956976
"60","Untreated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",803,22,0.0986840487159237,0.219297886035386
"61","Untreated","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",775,32,0.0980053831193507,0.217789740265224
"62","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylovirgula",765,12,0.0961154753147682,0.213589945143929
"63","Untreated","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus",723,25,0.0930729401582195,0.206828755907154
"64","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter",656,16,0.0834674829070554,0.185483295349012
"65","Untreated","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",630,36,0.0819648507241154,0.182144112720256
"66","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella",588,25,0.0756827371776411,0.168183860394758
"67","Untreated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter",527,19,0.075163814855574,0.167030699679053
"68","Untreated","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera",562,25,0.074428718059575,0.1653971512435
"69","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Crossiella",656,16,0.074138493656653,0.164752208125896
"70","Untreated","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina",529,13,0.0733246470634948,0.1629436601411
"71","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter",510,22,0.0728799972592398,0.161955549464977
"72","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas",545,12,0.0701846135483417,0.155965807885204
"73","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",563,23,0.0700504528531444,0.155667673006988
"74","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas",602,13,0.0696500945006402,0.1547779877792
"75","Untreated","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","OLB12",534,14,0.0690519893118828,0.153448865137517
"76","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",546,23,0.0675986197000332,0.150219154888963
"77","Untreated","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","JG30a-KF-32",515,22,0.0673529995495262,0.14967333233228
"78","Untreated","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",479,18,0.0622456325520111,0.138323627893358
"79","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",503,20,0.0610984497168491,0.135774332704109
"80","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Actimicrobium",580,10,0.0604595992347003,0.134354664966001
"81","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","mle1-7",514,14,0.0600087282427223,0.133352729428272
"82","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Actinospicaceae","Actinospica",536,19,0.0582002087568088,0.129333797237353
"83","Untreated","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Ktedonobacter",443,28,0.0574462883492944,0.127658418553987
"84","Untreated","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI 0001001-H03",469,18,0.0567238836087541,0.12605307468612
"85","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae","Labrys",397,20,0.0554066166858574,0.123125814857461
"86","Untreated","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata",433,24,0.0546415112582236,0.12142558057383
"87","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter",401,12,0.0523808941450579,0.116401986989018
"88","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",409,13,0.0518949044034759,0.115322009785502
"89","Untreated","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Minicystis",442,12,0.050485493238767,0.112189984975038
"90","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella",294,7,0.0493216894514524,0.109603754336561
"91","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptacidiphilus",435,10,0.0485884061299337,0.107974235844297
"92","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella",418,1,0.0476298997265269,0.105844221614504
"93","Untreated","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",372,22,0.0473488036404613,0.10521956364547
"94","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",376,26,0.0469740557389539,0.104386790531009
"95","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Inquilinaceae","Inquilinus",395,20,0.0465822743248403,0.103516165166312
"96","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",398,16,0.0459680819158124,0.10215129314625
"97","Untreated","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia",360,22,0.04487332144568,0.0997184921015112
